scenario,profit_eur
1255,1180512.5889192326
1256,976538.8730138694
1257,970898.2392650838
1258,972208.6164690731
1259,953641.6314781539
1260,770514.4646527392
1261,739418.791141912
1262,737939.8549621229
1263,728172.7369434682
1264,1222027.6770221386
1265,1208651.8193568257
1266,1221724.7841613223
1267,1186992.1391422837
1268,942209.1774650598
1269,917009.651430336
1270,906430.9466486017
1271,902837.8018367214
1272,1193836.5917460884
1273,1164342.0013573014
1274,1159930.2190771287
1275,1150229.3342189982
1276,1461735.4595146198
1277,1436364.352679778
1278,1442798.8494763193
1279,1419544.4443002474
1280,569547.8165423111
1281,555952.6836899875
1282,554969.8212414073
1283,546352.5585274694
1284,1078444.1462127415
1285,1061759.797917455
1286,1084172.7257957535
1287,1042452.2052763472
1288,1113818.8212289105
1289,1097575.2777193254
1290,1100898.5747781314
1291,1075060.521104056
1292,1554012.0488070007
1293,1535469.406198428
1294,1533958.7339423837
1295,1499755.3658442576
1296,1251481.9064751547
1297,1231174.8122088718
1298,1242654.683440695
1299,1212157.4482084978
1300,1310567.2017282848
1301,1291037.8703719343
1302,1296819.0699143242
1303,1266039.1459099436
1304,1251714.3111398607
1305,1226691.969588858
1306,1234151.566040615
1307,1210541.7738981233
